DATE,CUURA103SAF
4/1/2009,
5/1/2009,228.812
6/1/2009,.
7/1/2009,227.91
8/1/2009,.
9/1/2009,230.416
10/1/2009,.
11/1/2009,230.249
12/1/2009,.
1/1/2010,232.728
2/1/2010,.
3/1/2010,232.017
4/1/2010,.
5/1/2010,232.591
6/1/2010,.
7/1/2010,231.597
8/1/2010,.
9/1/2010,232.741
10/1/2010,.
11/1/2010,232.338
12/1/2010,.
1/1/2011,235.147
2/1/2011,.
3/1/2011,235.954
4/1/2011,.
5/1/2011,238.492
6/1/2011,.
7/1/2011,240.483
8/1/2011,.
9/1/2011,242.091
10/1/2011,.
11/1/2011,242.241
12/1/2011,.
1/1/2012,244.755
2/1/2012,.
3/1/2012,242.782
4/1/2012,.
